Id ka V CL
1 1.74807605296784 29.2825314900307 1.58603718136847
2 1.90327770636121 31.7712205016324 3.18862546849516
3 2.32521609083704 33.8964471361529 2.7634432530383
4 1.18910564526701 31.337537552088 2.65646638961034
5 1.46866690673381 26.9461777506283 2.3549498689154
6 1.21033277867102 42.0574552376779 3.85135073900071
7 0.755872630407105 34.4506650712648 3.11662846423307
8 1.38808996659655 35.897785876215 3.17236728942283
9 5.97614795664161 31.7280748838625 2.84183713099651
10 0.727745436057849 26.0455910161378 1.84113636961744
11 3.44371216737556 37.1971548505015 3.67064643175013
12 0.862611541633533 24.4784312542972 2.48685883885205
